iter,  x,    y,  grad_x, grad_y, function_value 
125  1.05  1.09 0.0135  0.037 0.00207 
126  1.04  1.09 0.0126  0.034 0.00174 
127  1.04  1.09 0.0126  0.034 0.00174 
128  1.04  1.08 0.0117 0.0309 0.00144 
129  1.04  1.08 0.0117 0.0309 0.00144 
130  1.03  1.07 0.0107 0.0279 0.00117 
131  1.03  1.07 0.0107 0.0279 0.00117 
132  1.03  1.06 0.00978 0.0248 0.000928 
133  1.03  1.06 0.00978 0.0248 0.000928 
134  1.03  1.05 0.00883 0.0217 0.000713 
135  1.03  1.05 0.00883 0.0217 0.000713 
136  1.02  1.05 0.00787 0.0186 0.000526 
137  1.02  1.05 0.00787 0.0186 0.000526 
138  1.02  1.04 0.0069 0.0154 0.000367 
139  1.02  1.04 0.0069 0.0154 0.000367 
140  1.02  1.03 0.00593 0.0122 0.000237 
141  1.02  1.03 0.00593 0.0122 0.000237 
142  1.01  1.02 0.00494 0.00903 0.000135 
143  1.01  1.02 0.00494 0.00903 0.000135 
144  1.01  1.02 0.00395 0.0058 6.13e-05 
145  1.01  1.02 0.00395 0.0058 6.13e-05 
146     1  1.01 0.00296 0.00256 1.64e-05 
147     1  1.01 0.00296 0.00256 1.64e-05 
148     1     1 0.00275 0.00016 2.35e-06 
149     1     1 0.00275 0.00016 2.35e-06 
150     1     1 0.00119 -0.000134 2.11e-07 
151     1     1 0.000495 -0.000132 1.35e-08 
152     1     1 0.000182 -2.38e-05 4.5e-09 
153     1     1 0.000182 -2.38e-05 4.5e-09 
154     1     1 1.23e-05 -6.45e-06 2.08e-13 
155     1     1 9.87e-06 -1.09e-06 1.47e-11 
156     1     1 4.82e-06 -5.54e-07 3.45e-12 
157     1     1 7.62e-08 -9.84e-09   8e-16 
status = success
